Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
  0.9957   1.0000  -2.8580   1.0404 107328.6912  10.2644   4.2940
  0.9956   1.0000  -2.8496   1.0404 108426.4716  10.2776   4.2865
  0.9953   1.0000  -2.8383   1.0404 109893.1865  10.2951   4.2764
  0.9950   1.0000  -2.8272   1.0404 111376.1366  10.3125   4.2659
  0.9947   1.0000  -2.8161   1.0404 112876.0537  10.3299   4.2549
  0.9945   1.0000  -2.8051   1.0404 114393.6581  10.3471   4.2433
  0.9942   1.0000  -2.7941   1.0404 115929.6585  10.3644   4.2313
  0.9939   1.0000  -2.7832   1.0404 117484.7529  10.3815   4.2190
  0.9936   1.0000  -2.7724   1.0404 119059.6273  10.3986   4.2064
  0.9933   1.0000  -2.7643   1.0404 120245.7061  10.4113   4.1968
  0.9931   1.0000  -2.7589   1.0404 121048.4804  10.4198   4.1903
  0.9930   1.0000  -2.7508   1.0404 122271.2240  10.4326   4.1803
  0.9927   1.0000  -2.7401   1.0404 123909.4110  10.4495   4.1667
  0.9924   1.0000  -2.7267   1.0404 126003.3902  10.4707   4.1489
  0.9919   1.0000  -2.7135   1.0404 128104.5800  10.4916   4.1304
  0.9916   1.0000  -2.7030   1.0404 129823.8765  10.5083   4.1148
  0.9912   1.0000  -2.6925   1.0404 131567.7407  10.5250   4.0988
  0.9909   1.0000  -2.6820   1.0404 133336.7902  10.5417   4.0823
  0.9906   1.0000  -2.6716   1.0404 135131.6331  10.5583   4.0655
  0.9902   1.0000  -2.6613   1.0404 136952.8545  10.5749   4.0483
  0.9899   1.0000  -2.6509   1.0404 138801.0103  10.5914   4.0307
  0.9896   1.0000  -2.6406   1.0404 140676.6339  10.6079   4.0128
  0.9892   1.0000  -2.6304   1.0404 142580.2547  10.6244   3.9944
  0.9889   1.0000  -2.6202   1.0404 144512.4082  10.6408   3.9757
  0.9885   1.0000  -2.6100   1.0404 146473.6315  10.6573   3.9566
  0.9882   0.9999  -2.5998   1.0404 148464.4561  10.6736   3.9373
  0.9878   0.9999  -2.5897   1.0404 150485.4041  10.6900   3.9176
  0.9874   0.9999  -2.5796   1.0404 152536.9918  10.7063   3.8976
  0.9871   0.9999  -2.5696   1.0404 154619.7329  10.7226   3.8773
  0.9867   0.9999  -2.5595   1.0404 156734.1387  10.7389   3.8567
  0.9863   0.9999  -2.5495   1.0404 158880.7163  10.7551   3.8359
  0.9859   0.9999  -2.5396   1.0404 161059.9685  10.7713   3.8148
  0.9855   0.9999  -2.5296   1.0404 163272.3935  10.7875   3.7936
  0.9851   0.9999  -2.5197   1.0404 165518.4840  10.8037   3.7723
  0.9847   0.9999  -2.5098   1.0404 167798.7244  10.8198   3.7507
  0.9843   0.9999  -2.4999   1.0404 170113.5953  10.8360   3.7290
  0.9839   0.9999  -2.4901   1.0404 172463.5841  10.8521   3.7071
  0.9835   0.9999  -2.4802   1.0404 174849.1900  10.8682   3.6852
  0.9831   0.9999  -2.4704   1.0404 177270.9234  10.8843   3.6633
