Radius   Mass(r<R) logRho   Lum.     Temp.    logPres. logOpac.
1.015299 0.999999993  -5.3606   1.0404 16551.5207   6.7864   3.6458
1.015266 0.999999993  -5.3457   1.0404 16642.9029   6.8047   3.6599
1.015234 0.999999992  -5.3315   1.0404 16731.2730   6.8223   3.6734
1.015204 0.999999992  -5.3178   1.0404 16816.8530   6.8392   3.6863
1.015174 0.999999992  -5.3047   1.0404 16899.8409   6.8554   3.6988
1.015145 0.999999991  -5.2920   1.0404 16980.4135   6.8711   3.7108
1.015118 0.999999991  -5.2739   1.0404 17097.8866   6.8936   3.7280
1.015064 0.999999990  -5.2565   1.0404 17209.2073   6.9150   3.7443
1.015038 0.999999990  -5.2454   1.0404 17281.5512   6.9287   3.7547
1.015013 0.999999990  -5.2295   1.0404 17387.4218   6.9485   3.7698
1.014965 0.999999989  -5.2141   1.0404 17488.4314   6.9674   3.7841
1.014942 0.999999989  -5.2025   1.0404 17567.0060   6.9819   3.7951
1.014910 0.999999988  -5.1894   1.0404 17655.6127   6.9982   3.8074
1.014880 0.999999988  -5.1768   1.0404 17741.7063   7.0139   3.8192
1.014850 0.999999988  -5.1646   1.0404 17825.4499   7.0290   3.8306
1.014821 0.999999987  -5.1528   1.0404 17906.9898   7.0436   3.8416
1.014793 0.999999987  -5.1414   1.0404 17986.4580   7.0577   3.8522
1.014766 0.999999986  -5.1250   1.0404 18102.7329   7.0781   3.8675
1.014713 0.999999985  -5.1042   1.0404 18250.6017   7.1039   3.8869
1.014663 0.999999985  -5.0846   1.0404 18392.0490   7.1283   3.9051
1.014615 0.999999984  -5.0706   1.0404 18493.7928   7.1457   3.9181
1.014591 0.999999983  -5.0616   1.0404 18560.2790   7.1569   3.9265
1.014569 0.999999983  -5.0486   1.0404 18658.0886   7.1732   3.9387
1.014524 0.999999982  -5.0319   1.0404 18783.7229   7.1940   3.9543
1.014482 0.999999981  -5.0121   1.0404 18935.2936   7.2188   3.9728
1.014421 0.999999980  -4.9897   1.0404 19108.2881   7.2467   3.9936
1.014363 0.999999978  -4.9721   1.0404 19245.8574   7.2687   4.0100
1.014326 0.999999978  -4.9586   1.0404 19352.7105   7.2855   4.0225
1.014290 0.999999977  -4.9457   1.0404 19456.5838   7.3017   4.0346
1.014255 0.999999976  -4.9278   1.0404 19603.6043   7.3243   4.0514
1.014191 0.999999974  -4.9112   1.0404 19739.2029   7.3450   4.0668
1.014162 0.999999973  -4.9010   1.0404 19824.7552   7.3579   4.0765
1.014133 0.999999973  -4.8910   1.0404 19908.4920   7.3704   4.0858
1.014105 0.999999972  -4.8766   1.0404 20031.5102   7.3886   4.0994
1.014051 0.999999970  -4.8627   1.0404 20149.7229   7.4060   4.1124
1.014025 0.999999970  -4.8538   1.0404 20227.0411   7.4172   4.1208
1.013999 0.999999969  -4.8408   1.0404 20340.8865   7.4335   4.1330
1.013949 0.999999967  -4.8243   1.0404 20487.3732   7.4544   4.1486
1.013901 0.999999966  -4.8086   1.0404 20629.0006   7.4743   4.1635
1.013855 0.999999964  -4.7972   1.0404 20731.8678   7.4886   4.1742
1.013833 0.999999963  -4.7862   1.0404 20833.1552   7.5025   4.1846
1.013789 0.999999962  -4.7687   1.0404 20996.9892   7.5247   4.2012
1.013725 0.999999959  -4.7488   1.0404 21185.3967   7.5500   4.2201
1.013665 0.999999957  -4.7299   1.0404 21366.4129   7.5738   4.2379
1.013607 0.999999955  -4.7150   1.0404 21511.6785   7.5928   4.2521
1.013569 0.999999953  -4.7007   1.0404 21653.5072   7.6109   4.2657
1.013515 0.999999951  -4.6844   1.0404 21818.4517   7.6318   4.2813
1.013463 0.999999948  -4.6712   1.0404 21952.0321   7.6485   4.2938
1.013429 0.999999947  -4.6611   1.0404 22056.8646   7.6615   4.3034
1.013395 0.999999945  -4.6512   1.0404 22159.5918   7.6741   4.3128
1.013363 0.999999943  -4.6370   1.0404 22310.6802   7.6923   4.3264
1.013300 0.999999940  -4.6189   1.0404 22504.6863   7.7155   4.3437
1.013239 0.999999937  -4.6017   1.0404 22691.9114   7.7375   4.3600
1.013181 0.999999934  -4.5894   1.0404 22827.6812   7.7533   4.3716
1.013153 0.999999932  -4.5814   1.0404 22916.7429   7.7636   4.3792
1.013125 0.999999931  -4.5699   1.0404 23048.2494   7.7785   4.3901
1.013071 0.999999928  -4.5550   1.0404 23218.3583   7.7976   4.4041
1.013019 0.999999924  -4.5408   1.0404 23384.7238   7.8160   4.4176
1.012968 0.999999921  -4.5270   1.0404 23547.5705   7.8338   4.4305
1.012918 0.999999918  -4.5138   1.0404 23706.1127   7.8509   4.4429
1.012870 0.999999915  -4.5011   1.0404 23860.6295   7.8674   4.4548
1.012824 0.999999912  -4.4888   1.0404 24011.3734   7.8832   4.4663
1.012778 0.999999908  -4.4770   1.0404 24158.5761   7.8985   4.4773
1.012734 0.999999905  -4.4601   1.0404 24374.3893   7.9205   4.4932
1.012649 0.999999899  -4.4440   1.0404 24581.0672   7.9415   4.5082
1.012608 0.999999895  -4.4338   1.0404 24716.0544   7.9549   4.5178
1.012568 0.999999892  -4.4190   1.0404 24914.5572   7.9743   4.5316
1.012490 0.999999886  -4.4002   1.0404 25169.3922   7.9989   4.5492
1.012416 0.999999879  -4.3825   1.0404 25415.2853   8.0221   4.5659
1.012345 0.999999873  -4.3696   1.0404 25594.6282   8.0389   4.5779
1.012310 0.999999870  -4.3613   1.0404 25713.6125   8.0499   4.5857
1.012275 0.999999866  -4.3492   1.0404 25889.2363   8.0658   4.5970
1.012208 0.999999860  -4.3337   1.0404 26116.2531   8.0862   4.6114
1.012144 0.999999853  -4.3190   1.0404 26336.6727   8.1057   4.6251
1.012081 0.999999847  -4.3049   1.0404 26550.9809   8.1243   4.6381
1.012020 0.999999840  -4.2914   1.0404 26759.6031   8.1422   4.6505
1.011961 0.999999834  -4.2785   1.0404 26962.9140   8.1594   4.6623
1.011904 0.999999827  -4.2661   1.0404 27161.2470   8.1759   4.6736
1.011849 0.999999820  -4.2540   1.0404 27356.6207   8.1920   4.6845
1.011794 0.999999814  -4.2422   1.0404 27549.1524   8.2076   4.6951
1.011741 0.999999807  -4.2255   1.0404 27831.5021   8.2300   4.7102
1.011638 0.999999794  -4.2095   1.0404 28102.0137   8.2514   4.7246
1.011588 0.999999787  -4.1993   1.0404 28278.7215   8.2651   4.7337
1.011540 0.999999780  -4.1846   1.0404 28538.6125   8.2848   4.7469
1.011446 0.999999767  -4.1704   1.0404 28791.1456   8.3038   4.7596
1.011400 0.999999760  -4.1611   1.0404 28959.3452   8.3163   4.7679
1.011354 0.999999753  -4.1521   1.0404 29124.5527   8.3284   4.7759
1.011309 0.999999747  -4.1391   1.0404 29368.0740   8.3460   4.7874
1.011223 0.999999733  -4.1186   1.0404 29760.5496   8.3738   4.8053
1.011099 0.999999712  -4.0992   1.0404 30134.9386   8.4000   4.8218
1.011020 0.999999699  -4.0846   1.0404 30425.7260   8.4198   4.8341
1.010943 0.999999685  -4.0707   1.0404 30708.4344   8.4388   4.8457
1.010869 0.999999671  -4.0573   1.0404 30983.6374   8.4570   4.8566
1.010797 0.999999658  -4.0444   1.0404 31255.4263   8.4747   4.8671
1.010726 0.999999643  -4.0318   1.0404 31523.9100   8.4919   4.8772
1.010656 0.999999629  -4.0197   1.0404 31785.9516   8.5085   4.8868
1.010589 0.999999615  -4.0080   1.0404 32041.9515   8.5244   4.8960
1.010523 0.999999601  -3.9967   1.0404 32294.4950   8.5400   4.9049
1.010457 0.999999587  -3.9804   1.0404 32668.3459   8.5625   4.9175
1.010332 0.999999558  -3.9648   1.0404 33027.0163   8.5839   4.9292
1.010271 0.999999544  -3.9560   1.0404 33234.1339   8.5960   4.9356
1.010225 0.999999533  -3.9449   1.0404 33499.8858   8.6114   4.9436
1.010136 0.999999511  -3.9274   1.0404 33930.6067   8.6357   4.9559
1.010008 0.999999478  -3.9107   1.0404 34344.7345   8.6588   4.9670
1.009926 0.999999456  -3.8979   1.0404 34672.2925   8.6767   4.9752
1.009844 0.999999434  -3.8854   1.0404 34996.2564   8.6941   4.9828
1.009764 0.999999411  -3.8734   1.0404 35312.8375   8.7108   4.9898
1.009687 0.999999389  -3.8619   1.0404 35622.5165   8.7269   4.9962
1.009611 0.999999366  -3.8506   1.0404 35929.7836   8.7427   5.0021
1.009536 0.999999343  -3.8397   1.0404 36234.7187   8.7581   5.0076
1.009462 0.999999320  -3.8266   1.0404 36608.4095   8.7766   5.0137
1.009355 0.999999285  -3.8143   1.0404 36961.1135   8.7938   5.0191
1.009290 0.999999264  -3.8037   1.0404 37276.7368   8.8090   5.0234
1.009203 0.999999234  -3.7898   1.0404 37694.7416   8.8286   5.0286
1.009091 0.999999195  -3.7783   1.0404 38045.7210   8.8449   5.0325
1.009035 0.999999174  -3.7672   1.0404 38396.8736   8.8609   5.0360
1.008926 0.999999134  -3.7564   1.0404 38739.0567   8.8763   5.0389
1.008873 0.999999114  -3.7459   1.0404 39082.2308   8.8913   5.0414
1.008767 0.999999072  -3.7323   1.0404 39532.1996   8.9108   5.0441
1.008664 0.999999031  -3.7192   1.0404 39976.6299   8.9297   5.0460
1.008562 0.999998989  -3.7066   1.0404 40415.8778   8.9479   5.0471
1.008463 0.999998947  -3.6932   1.0404 40894.2450   8.9674   5.0476
1.008345 0.999998895  -3.6784   1.0404 41435.3537   8.9889   5.0473
1.008219 0.999998838  -3.6658   1.0404 41905.8641   9.0072   5.0463
1.008134 0.999998798  -3.6535   1.0404 42381.5268   9.0253   5.0446
1.008010 0.999998738  -3.6419   1.0404 42837.8757   9.0424   5.0424
1.007932 0.999998700  -3.6313   1.0404 43263.9359   9.0580   5.0398
1.007824 0.999998646  -3.6173   1.0404 43843.4855   9.0787   5.0356
1.007682 0.999998571  -3.6056   1.0404 44335.6724   9.0960   5.0314
1.007611 0.999998533  -3.5960   1.0404 44748.0851   9.1102   5.0273
1.007507 0.999998476  -3.5850   1.0404 45233.9309   9.1267   5.0221
1.007405 0.999998419  -3.5710   1.0404 45872.0564   9.1477   5.0143
1.007240 0.999998323  -3.5559   1.0404 46573.4306   9.1704   5.0049
1.007111 0.999998246  -3.5458   1.0404 47059.3959   9.1857   4.9980
1.007038 0.999998201  -3.5388   1.0404 47397.8500   9.1962   4.9929
1.006972 0.999998160  -3.5284   1.0404 47919.7370   9.2121   4.9849
1.006826 0.999998066  -3.5139   1.0404 48656.9328   9.2341   4.9730
1.006673 0.999997965  -3.5033   1.0404 49210.8005   9.2504   4.9638
1.006601 0.999997917  -3.4933   1.0404 49744.8011   9.2656   4.9545
1.006461 0.999997819  -3.4783   1.0404 50572.5813   9.2888   4.9395
1.006274 0.999997685  -3.4621   1.0404 51489.0519   9.3138   4.9223
1.006100 0.999997556  -3.4500   1.0404 52191.1090   9.3325   4.9088
1.005998 0.999997478  -3.4390   1.0404 52845.9795   9.3495   4.8959
1.005847 0.999997359  -3.4275   1.0404 53548.5995   9.3675   4.8822
1.005726 0.999997262  -3.4150   1.0404 54335.3341   9.3871   4.8668
1.005547 0.999997113  -3.4039   1.0404 55036.6860   9.4043   4.8530
1.005457 0.999997037  -3.3950   1.0404 55625.2087   9.4184   4.8415
1.005324 0.999996922  -3.3821   1.0404 56487.6021   9.4387   4.8246
1.005133 0.999996751  -3.3700   1.0404 57306.8850   9.4577   4.8085
1.005014 0.999996642  -3.3610   1.0404 57935.7100   9.4720   4.7963
1.004897 0.999996533  -3.3477   1.0404 58880.7709   9.4929   4.7780
1.004665 0.999996309  -3.3349   1.0404 59810.4984   9.5133   4.7605
1.004549 0.999996193  -3.3253   1.0404 60518.3907   9.5284   4.7473
1.004404 0.999996046  -3.3108   1.0404 61627.6108   9.5516   4.7272
1.004143 0.999995772  -3.2956   1.0404 62798.5417   9.5757   4.7069
1.003970 0.999995584  -3.2856   1.0404 63581.3424   9.5915   4.6937
1.003855 0.999995456  -3.2758   1.0404 64372.9776   9.6072   4.6807
1.003682 0.999995259  -3.2623   1.0404 65482.2390   9.6288   4.6630
